file	sites	kind	exercised_by	owner	status	check8
scripts/dst/declared_vs_performed.ail	75	comment;helper signature;import;literal;reference;registration reference	declared_vs_performed (via scripts/dst/run_declared_vs_performed.sh); driver_only (via tools/profile_definition/check_fixtures.py); driver_plus_compose (via tools/profile_definition/check_compose_profile.py); driver_plus_no_ops (via tools/profile_definition/check_no_op_profile.py); dst; profile_definition (via tools/profile_definition/check_fixtures.py)	UNOWNED	8.0 breakage: 1 ExtCtx literal(s) (need verification/tool_evidence/decision_state); 21 ExtEntry literal(s) without config; callbacks typed ExtCtx (views at 8.0); Accept(x) (nullary at 8.0)	pkg-7.4 (compose)
scripts/dst/discovery_dst.ail	17	comment;helper signature;import;reference;registration reference	discovery; driver_only (via tools/profile_definition/check_fixtures.py); driver_plus_compose (via tools/profile_definition/check_compose_profile.py); driver_plus_no_ops (via tools/profile_definition/check_no_op_profile.py); dst; profile_definition (via tools/profile_definition/check_fixtures.py)	P1.5r	ABI pin sweep file (7.4 → 8.0); also: 1 ExtEntry literal(s) without config; callbacks typed ExtCtx (views at 8.0); fixture_hooks literal without config; ToolProvider row without Trace	pkg-7.4 (compose)
scripts/dst/driver_plus_compose_dst.ail	6	comment;import;registration reference	anchors (via tools/predicate-anchors/anchors.sh); driver_only (via tools/profile_definition/check_fixtures.py); driver_plus_compose; driver_plus_no_ops (via tools/profile_definition/check_no_op_profile.py); dst; profile_definition (via tools/profile_definition/check_fixtures.py)	P1.5r	ABI pin sweep file (7.4 → 8.0); also: 1 ExtEntry literal(s) without config	pkg-7.4 (compose)
scripts/dst/export_trace.ail	8	helper signature;reference	depth_canary (via scripts/dst/run_depth_canary.sh); driver_only (via tools/profile_definition/check_fixtures.py); driver_plus_compose (via tools/profile_definition/check_compose_profile.py); driver_plus_no_ops (via tools/profile_definition/check_no_op_profile.py); dst; profile_definition (via tools/profile_definition/check_fixtures.py)	P1.5r	ABI pin sweep file (7.4 → 8.0); also: callbacks typed ExtCtx (views at 8.0); fixture_hooks literal without config; ToolProvider row without Trace	FAIL: 8.0 FixtureOverrides literal without config
scripts/dst/fixtures/adr001_boundary/computed_list.ail	2	fixture;registration;registration reference	declared_vs_performed (via scripts/dst/run_declared_vs_performed.sh); dst; ext_ambient_inventory (via tools/ext_ambient_inventory/derive.py); ext_ambient_inventory_selftest (via tools/ext_ambient_inventory/derive.py); ext_hook_scope (via tools/ext_ambient_inventory/derive.py); ext_hook_scope_selftest (via tools/ext_ambient_inventory/derive.py)	UNOWNED	8.0 breakage: register_with_config result read as a bare list	gate fixture (verdict owned by its gate): ok
scripts/dst/fixtures/adr001_boundary/delegate_shadow.ail	2	fixture;registration;registration reference	declared_vs_performed (via scripts/dst/run_declared_vs_performed.sh); dst; ext_ambient_inventory (via tools/ext_ambient_inventory/derive.py); ext_ambient_inventory_selftest (via tools/ext_ambient_inventory/derive.py); ext_hook_scope (via tools/ext_ambient_inventory/derive.py); ext_hook_scope_selftest (via tools/ext_ambient_inventory/derive.py)	UNOWNED	8.0 breakage: register_with_config result read as a bare list	gate fixture (verdict owned by its gate): ok
scripts/dst/fixtures/adr001_boundary/gate/expected.json	3	data	declared_vs_performed (via scripts/dst/run_declared_vs_performed.sh); dst; ext_ambient_inventory (via tools/ext_ambient_inventory/derive.py); ext_ambient_inventory_selftest (via tools/ext_ambient_inventory/derive.py); ext_hook_scope (via tools/ext_ambient_inventory/derive.py); ext_hook_scope_selftest (via tools/ext_ambient_inventory/derive.py)	UNOWNED	sites: data	not checked
scripts/dst/fixtures/adr001_boundary/gate/fx_computed.ail	1	fixture;registration	declared_vs_performed (via scripts/dst/run_declared_vs_performed.sh); dst; ext_ambient_inventory (via tools/ext_ambient_inventory/derive.py); ext_ambient_inventory_selftest (via tools/ext_ambient_inventory/derive.py); ext_hook_scope (via tools/ext_ambient_inventory/derive.py); ext_hook_scope_selftest (via tools/ext_ambient_inventory/derive.py)	UNOWNED	8.0 breakage: register_with_config result read as a bare list	gate fixture (verdict owned by its gate): ok
scripts/dst/fixtures/adr001_boundary/gate/fx_delegate_import_shadow.ail	1	fixture;registration	declared_vs_performed (via scripts/dst/run_declared_vs_performed.sh); dst; ext_ambient_inventory (via tools/ext_ambient_inventory/derive.py); ext_ambient_inventory_selftest (via tools/ext_ambient_inventory/derive.py); ext_hook_scope (via tools/ext_ambient_inventory/derive.py); ext_hook_scope_selftest (via tools/ext_ambient_inventory/derive.py)	UNOWNED	8.0 breakage: register_with_config result read as a bare list	gate fixture (verdict owned by its gate): ok
scripts/dst/fixtures/adr001_boundary/gate/fx_delegate_param.ail	1	fixture;registration	declared_vs_performed (via scripts/dst/run_declared_vs_performed.sh); dst; ext_ambient_inventory (via tools/ext_ambient_inventory/derive.py); ext_ambient_inventory_selftest (via tools/ext_ambient_inventory/derive.py); ext_hook_scope (via tools/ext_ambient_inventory/derive.py); ext_hook_scope_selftest (via tools/ext_ambient_inventory/derive.py)	UNOWNED	8.0 breakage: register_with_config result read as a bare list	gate fixture (verdict owned by its gate): ok
scripts/dst/fixtures/adr001_boundary/gate/fx_delegate_shadow.ail	1	fixture;registration	declared_vs_performed (via scripts/dst/run_declared_vs_performed.sh); dst; ext_ambient_inventory (via tools/ext_ambient_inventory/derive.py); ext_ambient_inventory_selftest (via tools/ext_ambient_inventory/derive.py); ext_hook_scope (via tools/ext_ambient_inventory/derive.py); ext_hook_scope_selftest (via tools/ext_ambient_inventory/derive.py)	UNOWNED	8.0 breakage: register_with_config result read as a bare list	gate fixture (verdict owned by its gate): ok
scripts/dst/fixtures/adr001_boundary/gate/fx_delegate_unresolved.ail	1	fixture;registration	declared_vs_performed (via scripts/dst/run_declared_vs_performed.sh); dst; ext_ambient_inventory (via tools/ext_ambient_inventory/derive.py); ext_ambient_inventory_selftest (via tools/ext_ambient_inventory/derive.py); ext_hook_scope (via tools/ext_ambient_inventory/derive.py); ext_hook_scope_selftest (via tools/ext_ambient_inventory/derive.py)	UNOWNED	8.0 breakage: register_with_config result read as a bare list	gate fixture (verdict owned by its gate): FAIL: pre-existing (fixture not meant to compile standalone) — Error: type error in scripts/dst/fixtures/adr001_boundary/gate/fx_delegate_unresolved (decl 0): unde
scripts/dst/fixtures/adr001_boundary/gate/fx_delegated_record.ail	1	fixture;registration	declared_vs_performed (via scripts/dst/run_declared_vs_performed.sh); dst; ext_ambient_inventory (via tools/ext_ambient_inventory/derive.py); ext_ambient_inventory_selftest (via tools/ext_ambient_inventory/derive.py); ext_hook_scope (via tools/ext_ambient_inventory/derive.py); ext_hook_scope_selftest (via tools/ext_ambient_inventory/derive.py)	UNOWNED	8.0 breakage: register_with_config result read as a bare list	gate fixture (verdict owned by its gate): ok
scripts/dst/fixtures/adr001_boundary/gate/fx_empty.ail	1	fixture;registration	declared_vs_performed (via scripts/dst/run_declared_vs_performed.sh); dst; ext_ambient_inventory (via tools/ext_ambient_inventory/derive.py); ext_ambient_inventory_selftest (via tools/ext_ambient_inventory/derive.py); ext_hook_scope (via tools/ext_ambient_inventory/derive.py); ext_hook_scope_selftest (via tools/ext_ambient_inventory/derive.py)	UNOWNED	8.0 breakage: register_with_config result read as a bare list	gate fixture (verdict owned by its gate): ok
scripts/dst/fixtures/adr001_boundary/gate/fx_form_delegated_let.ail	1	fixture;registration	declared_vs_performed (via scripts/dst/run_declared_vs_performed.sh); dst; ext_ambient_inventory (via tools/ext_ambient_inventory/derive.py); ext_ambient_inventory_selftest (via tools/ext_ambient_inventory/derive.py); ext_hook_scope (via tools/ext_ambient_inventory/derive.py); ext_hook_scope_selftest (via tools/ext_ambient_inventory/derive.py)	UNOWNED	8.0 breakage: register_with_config result read as a bare list	gate fixture (verdict owned by its gate): ok
scripts/dst/fixtures/adr001_boundary/gate/fx_form_describe_inline.ail	1	fixture;registration	declared_vs_performed (via scripts/dst/run_declared_vs_performed.sh); dst; ext_ambient_inventory (via tools/ext_ambient_inventory/derive.py); ext_ambient_inventory_selftest (via tools/ext_ambient_inventory/derive.py); ext_hook_scope (via tools/ext_ambient_inventory/derive.py); ext_hook_scope_selftest (via tools/ext_ambient_inventory/derive.py)	UNOWNED	8.0 breakage: register_with_config result read as a bare list	gate fixture (verdict owned by its gate): ok
scripts/dst/fixtures/adr001_boundary/gate/fx_form_inline_backslash.ail	1	fixture;registration	declared_vs_performed (via scripts/dst/run_declared_vs_performed.sh); dst; ext_ambient_inventory (via tools/ext_ambient_inventory/derive.py); ext_ambient_inventory_selftest (via tools/ext_ambient_inventory/derive.py); ext_hook_scope (via tools/ext_ambient_inventory/derive.py); ext_hook_scope_selftest (via tools/ext_ambient_inventory/derive.py)	UNOWNED	8.0 breakage: register_with_config result read as a bare list	gate fixture (verdict owned by its gate): ok
scripts/dst/fixtures/adr001_boundary/gate/fx_form_inline_func.ail	1	fixture;registration	declared_vs_performed (via scripts/dst/run_declared_vs_performed.sh); dst; ext_ambient_inventory (via tools/ext_ambient_inventory/derive.py); ext_ambient_inventory_selftest (via tools/ext_ambient_inventory/derive.py); ext_hook_scope (via tools/ext_ambient_inventory/derive.py); ext_hook_scope_selftest (via tools/ext_ambient_inventory/derive.py)	UNOWNED	8.0 breakage: register_with_config result read as a bare list	gate fixture (verdict owned by its gate): ok
scripts/dst/fixtures/adr001_boundary/gate/fx_form_let_lambda.ail	1	fixture;registration	declared_vs_performed (via scripts/dst/run_declared_vs_performed.sh); dst; ext_ambient_inventory (via tools/ext_ambient_inventory/derive.py); ext_ambient_inventory_selftest (via tools/ext_ambient_inventory/derive.py); ext_hook_scope (via tools/ext_ambient_inventory/derive.py); ext_hook_scope_selftest (via tools/ext_ambient_inventory/derive.py)	UNOWNED	8.0 breakage: register_with_config result read as a bare list	gate fixture (verdict owned by its gate): ok
scripts/dst/fixtures/adr001_boundary/gate/fx_form_named_list.ail	1	fixture;registration	declared_vs_performed (via scripts/dst/run_declared_vs_performed.sh); dst; ext_ambient_inventory (via tools/ext_ambient_inventory/derive.py); ext_ambient_inventory_selftest (via tools/ext_ambient_inventory/derive.py); ext_hook_scope (via tools/ext_ambient_inventory/derive.py); ext_hook_scope_selftest (via tools/ext_ambient_inventory/derive.py)	UNOWNED	8.0 breakage: register_with_config result read as a bare list	gate fixture (verdict owned by its gate): ok
scripts/dst/fixtures/adr001_boundary/gate/fx_import_ok.ail	1	fixture;registration	declared_vs_performed (via scripts/dst/run_declared_vs_performed.sh); dst; ext_ambient_inventory (via tools/ext_ambient_inventory/derive.py); ext_ambient_inventory_selftest (via tools/ext_ambient_inventory/derive.py); ext_hook_scope (via tools/ext_ambient_inventory/derive.py); ext_hook_scope_selftest (via tools/ext_ambient_inventory/derive.py)	UNOWNED	8.0 breakage: register_with_config result read as a bare list	gate fixture (verdict owned by its gate): ok
scripts/dst/fixtures/adr001_boundary/gate/fx_import_shadow.ail	1	fixture;registration	declared_vs_performed (via scripts/dst/run_declared_vs_performed.sh); dst; ext_ambient_inventory (via tools/ext_ambient_inventory/derive.py); ext_ambient_inventory_selftest (via tools/ext_ambient_inventory/derive.py); ext_hook_scope (via tools/ext_ambient_inventory/derive.py); ext_hook_scope_selftest (via tools/ext_ambient_inventory/derive.py)	UNOWNED	8.0 breakage: register_with_config result read as a bare list	gate fixture (verdict owned by its gate): ok
scripts/dst/fixtures/adr001_boundary/gate/fx_inline_lambda.ail	1	fixture;registration	declared_vs_performed (via scripts/dst/run_declared_vs_performed.sh); dst; ext_ambient_inventory (via tools/ext_ambient_inventory/derive.py); ext_ambient_inventory_selftest (via tools/ext_ambient_inventory/derive.py); ext_hook_scope (via tools/ext_ambient_inventory/derive.py); ext_hook_scope_selftest (via tools/ext_ambient_inventory/derive.py)	UNOWNED	8.0 breakage: register_with_config result read as a bare list	gate fixture (verdict owned by its gate): ok
scripts/dst/fixtures/adr001_boundary/gate/fx_list_not_enumerable.ail	1	fixture;registration	declared_vs_performed (via scripts/dst/run_declared_vs_performed.sh); dst; ext_ambient_inventory (via tools/ext_ambient_inventory/derive.py); ext_ambient_inventory_selftest (via tools/ext_ambient_inventory/derive.py); ext_hook_scope (via tools/ext_ambient_inventory/derive.py); ext_hook_scope_selftest (via tools/ext_ambient_inventory/derive.py)	UNOWNED	8.0 breakage: register_with_config result read as a bare list	gate fixture (verdict owned by its gate): FAIL: pre-existing (fixture not meant to compile standalone) — Error: type error in scripts/dst/fixtures/adr001_boundary/gate/fx_list_not_enumerable (decl 1): unde
scripts/dst/fixtures/adr001_boundary/gate/fx_match.ail	1	fixture;registration	declared_vs_performed (via scripts/dst/run_declared_vs_performed.sh); dst; ext_ambient_inventory (via tools/ext_ambient_inventory/derive.py); ext_ambient_inventory_selftest (via tools/ext_ambient_inventory/derive.py); ext_hook_scope (via tools/ext_ambient_inventory/derive.py); ext_hook_scope_selftest (via tools/ext_ambient_inventory/derive.py)	UNOWNED	8.0 breakage: register_with_config result read as a bare list	gate fixture (verdict owned by its gate): ok
scripts/dst/fixtures/adr001_boundary/gate/fx_named_delegated_ok.ail	1	fixture;registration	declared_vs_performed (via scripts/dst/run_declared_vs_performed.sh); dst; ext_ambient_inventory (via tools/ext_ambient_inventory/derive.py); ext_ambient_inventory_selftest (via tools/ext_ambient_inventory/derive.py); ext_hook_scope (via tools/ext_ambient_inventory/derive.py); ext_hook_scope_selftest (via tools/ext_ambient_inventory/derive.py)	UNOWNED	8.0 breakage: register_with_config result read as a bare list	gate fixture (verdict owned by its gate): ok
scripts/dst/fixtures/adr001_boundary/gate/fx_named_ok.ail	1	fixture;registration	declared_vs_performed (via scripts/dst/run_declared_vs_performed.sh); dst; ext_ambient_inventory (via tools/ext_ambient_inventory/derive.py); ext_ambient_inventory_selftest (via tools/ext_ambient_inventory/derive.py); ext_hook_scope (via tools/ext_ambient_inventory/derive.py); ext_hook_scope_selftest (via tools/ext_ambient_inventory/derive.py)	UNOWNED	8.0 breakage: register_with_config result read as a bare list	gate fixture (verdict owned by its gate): ok
scripts/dst/fixtures/adr001_boundary/gate/fx_not_a_name.ail	1	fixture;registration	declared_vs_performed (via scripts/dst/run_declared_vs_performed.sh); dst; ext_ambient_inventory (via tools/ext_ambient_inventory/derive.py); ext_ambient_inventory_selftest (via tools/ext_ambient_inventory/derive.py); ext_hook_scope (via tools/ext_ambient_inventory/derive.py); ext_hook_scope_selftest (via tools/ext_ambient_inventory/derive.py)	UNOWNED	8.0 breakage: register_with_config result read as a bare list	gate fixture (verdict owned by its gate): ok
scripts/dst/fixtures/adr001_boundary/gate/fx_param_shadow.ail	1	fixture;registration	declared_vs_performed (via scripts/dst/run_declared_vs_performed.sh); dst; ext_ambient_inventory (via tools/ext_ambient_inventory/derive.py); ext_ambient_inventory_selftest (via tools/ext_ambient_inventory/derive.py); ext_hook_scope (via tools/ext_ambient_inventory/derive.py); ext_hook_scope_selftest (via tools/ext_ambient_inventory/derive.py)	UNOWNED	8.0 breakage: register_with_config result read as a bare list	gate fixture (verdict owned by its gate): ok
scripts/dst/fixtures/adr001_boundary/gate/fx_partial.ail	1	fixture;registration	declared_vs_performed (via scripts/dst/run_declared_vs_performed.sh); dst; ext_ambient_inventory (via tools/ext_ambient_inventory/derive.py); ext_ambient_inventory_selftest (via tools/ext_ambient_inventory/derive.py); ext_hook_scope (via tools/ext_ambient_inventory/derive.py); ext_hook_scope_selftest (via tools/ext_ambient_inventory/derive.py)	UNOWNED	8.0 breakage: register_with_config result read as a bare list	gate fixture (verdict owned by its gate): ok
scripts/dst/fixtures/adr001_boundary/gate/fx_payload_unresolved.ail	1	fixture;registration	declared_vs_performed (via scripts/dst/run_declared_vs_performed.sh); dst; ext_ambient_inventory (via tools/ext_ambient_inventory/derive.py); ext_ambient_inventory_selftest (via tools/ext_ambient_inventory/derive.py); ext_hook_scope (via tools/ext_ambient_inventory/derive.py); ext_hook_scope_selftest (via tools/ext_ambient_inventory/derive.py)	UNOWNED	8.0 breakage: register_with_config result read as a bare list	gate fixture (verdict owned by its gate): FAIL: pre-existing (fixture not meant to compile standalone) — Error: type error in scripts/dst/fixtures/adr001_boundary/gate/fx_payload_unresolved (decl 0): undef
scripts/dst/fixtures/adr001_boundary/gate/fx_record_extra_field.ail	1	fixture;registration	declared_vs_performed (via scripts/dst/run_declared_vs_performed.sh); dst; ext_ambient_inventory (via tools/ext_ambient_inventory/derive.py); ext_ambient_inventory_selftest (via tools/ext_ambient_inventory/derive.py); ext_hook_scope (via tools/ext_ambient_inventory/derive.py); ext_hook_scope_selftest (via tools/ext_ambient_inventory/derive.py)	UNOWNED	8.0 breakage: register_with_config result read as a bare list	gate fixture (verdict owned by its gate): FAIL: record shape, needs a look — Error: type error in scripts/dst/fixtures/adr001_boundary/gate/fx_record_extra_field (decl 1): type unification failed at [return type annot
scripts/dst/fixtures/adr001_boundary/gate/fx_residue.ail	1	fixture;registration	declared_vs_performed (via scripts/dst/run_declared_vs_performed.sh); dst; ext_ambient_inventory (via tools/ext_ambient_inventory/derive.py); ext_ambient_inventory_selftest (via tools/ext_ambient_inventory/derive.py); ext_hook_scope (via tools/ext_ambient_inventory/derive.py); ext_hook_scope_selftest (via tools/ext_ambient_inventory/derive.py)	UNOWNED	8.0 breakage: register_with_config result read as a bare list	gate fixture (verdict owned by its gate): ok
scripts/dst/fixtures/adr001_boundary/gate/fx_shadow.ail	1	fixture;registration	declared_vs_performed (via scripts/dst/run_declared_vs_performed.sh); dst; ext_ambient_inventory (via tools/ext_ambient_inventory/derive.py); ext_ambient_inventory_selftest (via tools/ext_ambient_inventory/derive.py); ext_hook_scope (via tools/ext_ambient_inventory/derive.py); ext_hook_scope_selftest (via tools/ext_ambient_inventory/derive.py)	UNOWNED	8.0 breakage: register_with_config result read as a bare list	gate fixture (verdict owned by its gate): ok
scripts/dst/fixtures/adr001_boundary/gate/fx_unknown.ail	1	fixture;registration	declared_vs_performed (via scripts/dst/run_declared_vs_performed.sh); dst; ext_ambient_inventory (via tools/ext_ambient_inventory/derive.py); ext_ambient_inventory_selftest (via tools/ext_ambient_inventory/derive.py); ext_hook_scope (via tools/ext_ambient_inventory/derive.py); ext_hook_scope_selftest (via tools/ext_ambient_inventory/derive.py)	UNOWNED	8.0 breakage: register_with_config result read as a bare list	gate fixture (verdict owned by its gate): ok
scripts/dst/fixtures/adr001_boundary/named_list_lambda.ail	2	fixture;registration;registration reference	declared_vs_performed (via scripts/dst/run_declared_vs_performed.sh); dst; ext_ambient_inventory (via tools/ext_ambient_inventory/derive.py); ext_ambient_inventory_selftest (via tools/ext_ambient_inventory/derive.py); ext_hook_scope (via tools/ext_ambient_inventory/derive.py); ext_hook_scope_selftest (via tools/ext_ambient_inventory/derive.py)	UNOWNED	8.0 breakage: register_with_config result read as a bare list	gate fixture (verdict owned by its gate): FAIL: fixture by design (effect row / arity), not 8.0 — Error: type error in scripts/dst/fixtures/adr001_boundary/named_list_lambda (decl 2): type unificati
scripts/dst/fixtures/adr001_boundary/named_match_record.ail	2	fixture;registration;registration reference	declared_vs_performed (via scripts/dst/run_declared_vs_performed.sh); dst; ext_ambient_inventory (via tools/ext_ambient_inventory/derive.py); ext_ambient_inventory_selftest (via tools/ext_ambient_inventory/derive.py); ext_hook_scope (via tools/ext_ambient_inventory/derive.py); ext_hook_scope_selftest (via tools/ext_ambient_inventory/derive.py)	UNOWNED	8.0 breakage: register_with_config result read as a bare list	gate fixture (verdict owned by its gate): FAIL: fixture by design (effect row / arity), not 8.0 — Error: effect checking failed in scripts/dst/fixtures/adr001_boundary/named_match_record: Effect che
scripts/dst/fixtures/adr001_boundary/named_module_env.ail	2	fixture;registration;registration reference	declared_vs_performed (via scripts/dst/run_declared_vs_performed.sh); dst; ext_ambient_inventory (via tools/ext_ambient_inventory/derive.py); ext_ambient_inventory_selftest (via tools/ext_ambient_inventory/derive.py); ext_hook_scope (via tools/ext_ambient_inventory/derive.py); ext_hook_scope_selftest (via tools/ext_ambient_inventory/derive.py)	UNOWNED	8.0 breakage: register_with_config result read as a bare list	gate fixture (verdict owned by its gate): FAIL: fixture by design (effect row / arity), not 8.0 — Error: effect checking failed in scripts/dst/fixtures/adr001_boundary/named_module_env: Effect check
scripts/dst/fixtures/adr001_boundary/named_static_constant.ail	2	fixture;registration;registration reference	declared_vs_performed (via scripts/dst/run_declared_vs_performed.sh); dst; ext_ambient_inventory (via tools/ext_ambient_inventory/derive.py); ext_ambient_inventory_selftest (via tools/ext_ambient_inventory/derive.py); ext_hook_scope (via tools/ext_ambient_inventory/derive.py); ext_hook_scope_selftest (via tools/ext_ambient_inventory/derive.py)	UNOWNED	8.0 breakage: register_with_config result read as a bare list	gate fixture (verdict owned by its gate): ok
scripts/dst/fixtures/adr001_boundary/named_tuple_lambda.ail	2	fixture;registration;registration reference	declared_vs_performed (via scripts/dst/run_declared_vs_performed.sh); dst; ext_ambient_inventory (via tools/ext_ambient_inventory/derive.py); ext_ambient_inventory_selftest (via tools/ext_ambient_inventory/derive.py); ext_hook_scope (via tools/ext_ambient_inventory/derive.py); ext_hook_scope_selftest (via tools/ext_ambient_inventory/derive.py)	UNOWNED	8.0 breakage: register_with_config result read as a bare list	gate fixture (verdict owned by its gate): FAIL: fixture by design (effect row / arity), not 8.0 — Error: type error in scripts/dst/fixtures/adr001_boundary/named_tuple_lambda (decl 2): type unificat
scripts/dst/fixtures/adr001_boundary/registration_record.ail	2	fixture;registration;registration reference	declared_vs_performed (via scripts/dst/run_declared_vs_performed.sh); dst; ext_ambient_inventory (via tools/ext_ambient_inventory/derive.py); ext_ambient_inventory_selftest (via tools/ext_ambient_inventory/derive.py); ext_hook_scope (via tools/ext_ambient_inventory/derive.py); ext_hook_scope_selftest (via tools/ext_ambient_inventory/derive.py)	UNOWNED	8.0 breakage: register_with_config result read as a bare list	gate fixture (verdict owned by its gate): ok
