case_id	test_name	observed_verdict	observed_first_finding	observed_position	observed_by	commit
M1.ChainBreak.parent	src/eval/journal/reader.ail:test_m1_chain_break_parent	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M1.ChainBreak.cycle	src/eval/journal/reader.ail:test_m1_chain_break_cycle	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M1.ChainBreak.root	src/eval/journal/reader.ail:test_m1_chain_break_root	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M1.MalformedEntry.field	src/eval/journal/reader.ail:test_m1_malformed_entry_field	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M1.MalformedEntry.message	src/eval/journal/reader.ail:test_m1_malformed_entry_message	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M1.MalformedEntry.envelope	src/eval/journal/reader.ail:test_m1_malformed_entry_envelope	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M1.MalformedEntry.no_seq	src/eval/journal/reader.ail:test_m1_malformed_entry_no_seq_located_by_line	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M1.MalformedEntry.pairing	src/eval/journal/reader.ail:test_m1_malformed_entry_pairing	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M1.MalformedEntry.stray_wake.no_park	src/eval/journal/reader.ail:test_m1_stray_wake_no_open_park	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M1.MalformedEntry.stray_wake.answered	src/eval/journal/reader.ail:test_m1_stray_wake_answered_park	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M1.MalformedEntry.stray_wake.other_request	src/eval/journal/reader.ail:test_m1_stray_wake_other_request	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M1.UnknownEntryType	src/eval/journal/reader.ail:test_m1_unknown_entry_type	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M1.UnknownSchema	src/eval/journal/reader.ail:test_m1_unknown_schema	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M1.clean	src/eval/journal/reader.ail:test_m1_clean_twin_reads	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M1.clean.park_wake	src/eval/journal/reader.ail:test_m1_clean_twin_park_and_wake	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M1.entry_types	src/eval/journal/reader.ail:test_m1_twelve_entry_types_decode	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M1.seed.r21	src/eval/journal/reader.ail:test_seed_r21_leading_user	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M1.segment.ends	src/eval/journal/reader.ail:test_segment_end_forms	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M1.seed.repair_only	src/eval/journal/reader.ail:test_repair_is_the_seeds_only	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M1.park.reported	src/eval/journal/reader.ail:test_park_in_segment_is_reported	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M1.wake_opened.flagged	src/eval/journal/reader.ail:test_wake_opened_run_is_flagged	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M1.selector	src/eval/journal/reader.ail:test_bad_selector_is_the_readers_precondition	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M1.fold.gen	src/eval/journal/reader.ail:test_fold_equals_generator	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M1.reader.gen	src/eval/journal/reader.ail:test_reader_equals_generator	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M1.fold.at_a	src/eval/journal/reader_at_a_test.ail:test_fold_copy_equals_fold_journal_at_a	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M1.fold.at_a.every_leaf	src/eval/journal/reader_at_a_test.ail:test_fold_copy_equals_fold_journal_at_every_leaf	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M15.ChainBreak.passes_M1	src/eval/journal/reader.ail:test_m15_near_miss_chain_break_passes_m1	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M15.ChainBreak	src/eval/journal/source_checks_live_test.ail:m15_chain_break	refused	A3:PayloadDiffers	call:2	record	562acadc3fa7a1b6db114526060ba292a6afc1ef
M15.MalformedEntry.passes_M1	src/eval/journal/reader.ail:test_m15_near_miss_malformed_entry_passes_m1	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M15.MalformedEntry	src/eval/journal/source_checks_live_test.ail:m15_malformed_entry	refused	A3:PayloadDiffers	call:2	record	562acadc3fa7a1b6db114526060ba292a6afc1ef
M15.UnknownEntryType	-	inapplicable	(no test)	-	reason	562acadc3fa7a1b6db114526060ba292a6afc1ef
M15.UnknownSchema	-	inapplicable	(no test)	-	reason	562acadc3fa7a1b6db114526060ba292a6afc1ef
M15.park_wake	-	inapplicable	(no test)	-	reason	562acadc3fa7a1b6db114526060ba292a6afc1ef
M7.clean	tools/eval_protected/selftest.py:clean	allowed	-	aggregate:protected	record	562acadc3fa7a1b6db114526060ba292a6afc1ef
M7.ws_in_literal	tools/eval_protected/selftest.py:ws_in_literal	refused	changed:encode_tool_outcome	aggregate:protected	record	562acadc3fa7a1b6db114526060ba292a6afc1ef
M7.ws_doubled_in_literal	tools/eval_protected/selftest.py:ws_doubled_in_literal	refused	changed:decode_tool_outcome	aggregate:protected	record	562acadc3fa7a1b6db114526060ba292a6afc1ef
M7.token_tool_outcome_record	tools/eval_protected/selftest.py:token_tool_outcome_record	refused	changed:tool_outcome_record	aggregate:protected	record	562acadc3fa7a1b6db114526060ba292a6afc1ef
M7.import_paren_name	tools/eval_protected/selftest.py:import_paren_name	refused	changed:<imports:1>	aggregate:protected	record	562acadc3fa7a1b6db114526060ba292a6afc1ef
M7.import_joined	tools/eval_protected/selftest.py:import_joined	refused	changed:<imports:1>	aggregate:protected	record	562acadc3fa7a1b6db114526060ba292a6afc1ef
M7.import_alias	tools/eval_protected/selftest.py:import_alias	refused	changed:<imports:1>	aggregate:protected	record	562acadc3fa7a1b6db114526060ba292a6afc1ef
M7.comment_in_span	tools/eval_protected/selftest.py:comment_in_span	refused	changed:recording_tool	aggregate:protected	record	562acadc3fa7a1b6db114526060ba292a6afc1ef
M7.unbraced_last_line	tools/eval_protected/selftest.py:unbraced_last_line	refused	changed:ToolOutcome	aggregate:protected	record	562acadc3fa7a1b6db114526060ba292a6afc1ef
M7.deriving	tools/eval_protected/selftest.py:deriving	refused	changed:ToolCallEnvelope	aggregate:protected	record	562acadc3fa7a1b6db114526060ba292a6afc1ef
M7.moved_other_file	tools/eval_protected/selftest.py:moved_other_file	refused	moved:scripted_step_faults	aggregate:protected	record	562acadc3fa7a1b6db114526060ba292a6afc1ef
M7.renamed_missing	tools/eval_protected/selftest.py:renamed_missing	refused	missing:recording_tool	aggregate:protected	record	562acadc3fa7a1b6db114526060ba292a6afc1ef
M7.renamed_readded	tools/eval_protected/selftest.py:renamed_readded	allowed	-	aggregate:protected	record	562acadc3fa7a1b6db114526060ba292a6afc1ef
M7.moved_within_file	tools/eval_protected/selftest.py:moved_within_file	allowed	-	aggregate:protected	record	562acadc3fa7a1b6db114526060ba292a6afc1ef
M7.outside_every_span	tools/eval_protected/selftest.py:outside_every_span	allowed	-	aggregate:protected	record	562acadc3fa7a1b6db114526060ba292a6afc1ef
M7.interp_brace	tools/eval_protected/selftest.py:interp_brace	allowed	-	aggregate:protected	record	562acadc3fa7a1b6db114526060ba292a6afc1ef
M7.new_decl_dup_name	tools/eval_protected/selftest.py:new_decl_dup_name	refused	duplicate:tool_calls_json	aggregate:protected	record	562acadc3fa7a1b6db114526060ba292a6afc1ef
M7.dup_in_other_protected_file	tools/eval_protected/selftest.py:dup_in_other_protected_file	refused	duplicate:bool_field	aggregate:protected	record	562acadc3fa7a1b6db114526060ba292a6afc1ef
M7.call_site_changed	tools/eval_protected/selftest.py:call_site_changed	refused	changed:dispatch_step@call	aggregate:protected	record	562acadc3fa7a1b6db114526060ba292a6afc1ef
M7.call_site_duplicated	tools/eval_protected/selftest.py:call_site_duplicated	refused	duplicate:dispatch_step@call	aggregate:protected	record	562acadc3fa7a1b6db114526060ba292a6afc1ef
M7.unterminated_string	tools/eval_protected/selftest.py:unterminated_string	hard_error	SpanError	aggregate:protected	record	562acadc3fa7a1b6db114526060ba292a6afc1ef
M7.unbalanced_paren	tools/eval_protected/selftest.py:unbalanced_paren	hard_error	SpanError	aggregate:protected	record	562acadc3fa7a1b6db114526060ba292a6afc1ef
M7.pin_drift_reported	tools/eval_protected/selftest.py:pin_drift_reported	allowed	-	aggregate:protected	record	562acadc3fa7a1b6db114526060ba292a6afc1ef
M7.diff_names_only	tools/eval_protected/selftest.py:diff_names_only	allowed	encode_tool_outcome	aggregate:protected	record	562acadc3fa7a1b6db114526060ba292a6afc1ef
M7.gen_missing_symbol	tools/eval_protected/selftest.py:gen_missing_symbol	hard_error	protected symbol zz_no_such_symbol is missing	aggregate:protected	record	562acadc3fa7a1b6db114526060ba292a6afc1ef
M7.gen_overlap	tools/eval_protected/selftest.py:gen_overlap	hard_error	spans overlap	aggregate:protected	record	562acadc3fa7a1b6db114526060ba292a6afc1ef
M7.gen_duplicate_symbol	tools/eval_protected/selftest.py:gen_duplicate_symbol	hard_error	protected symbol recording_tool is declared 2 times	aggregate:protected	record	562acadc3fa7a1b6db114526060ba292a6afc1ef
M7.overlap_two_declarations	tools/eval_protected/selftest.py:overlap_two_declarations	hard_error	spans overlap	aggregate:protected	record	562acadc3fa7a1b6db114526060ba292a6afc1ef
M7.crosscheck_every_nonbraced_span	tools/eval_protected/selftest.py:crosscheck_every_nonbraced_span	pass	-	aggregate:protected	record	562acadc3fa7a1b6db114526060ba292a6afc1ef
M7.crosscheck_detects_short_span	tools/eval_protected/selftest.py:crosscheck_detects_short_span	fail	crosscheck:ToolOutcome	aggregate:protected	record	562acadc3fa7a1b6db114526060ba292a6afc1ef
M7.pins_at_a	tools/eval_protected/selftest.py:pins_at_a	allowed	-	aggregate:protected	record	562acadc3fa7a1b6db114526060ba292a6afc1ef
M7.pins_at_a_with_reader	tools/eval_protected/selftest.py:pins_at_a_with_reader	allowed	-	aggregate:protected	record	562acadc3fa7a1b6db114526060ba292a6afc1ef
M7.pins_corrupted	tools/eval_protected/selftest.py:pins_corrupted	refused	BAD	aggregate:protected	record	562acadc3fa7a1b6db114526060ba292a6afc1ef
M2.DuplicateOrAmbiguousCallId.call_ids	src/eval/journal/association.ail:test_m2_duplicate_call_id_in_one_assistant	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M2.DuplicateOrAmbiguousCallId.result	src/eval/journal/association.ail:test_m2_duplicate_result	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M2.UnexpectedToolResult.pairing	src/eval/journal/association.ail:test_m2_unexpected_tool_result_pairing	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M2.UnexpectedToolResult.m1_pairing_fixture	src/eval/journal/association.ail:test_m2_unexpected_tool_result_m1_fixture	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M2.UnexpectedToolResult.stale	src/eval/journal/association.ail:test_m2_unexpected_tool_result_stale	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M2.MalformedToolArguments	src/eval/journal/association.ail:test_m2_malformed_tool_arguments	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M2.Association.extra_prepared.same_step	src/eval/journal/association.ail:test_m2_association_extra_prepared_same_step	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M2.Association.extra_prepared.other_step	src/eval/journal/association.ail:test_m2_association_extra_prepared_other_step	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M2.Association.extra_assistant	src/eval/journal/association.ail:test_m2_association_extra_assistant	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M2.Association.tool_calls_count	src/eval/journal/association.ail:test_m2_association_tool_calls_count	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M2.Association.second_thinking	src/eval/journal/association.ail:test_m2_association_second_thinking	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M2.Association.two_runs	src/eval/journal/association.ail:test_m2_association_two_runs	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M2.Association.no_run	src/eval/journal/association.ail:test_m2_association_no_run	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M2.Association.unreadable_event	src/eval/journal/association.ail:test_m2_association_unreadable_event	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M2.ContinuationStart.suspended	src/eval/journal/association.ail:test_m2_continuation_start_suspended	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M2.ContinuationStart.suspended_resumed	src/eval/journal/association.ail:test_m2_continuation_start_suspended_resumed	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M2.ContinuationStart.wake	src/eval/journal/association.ail:test_m2_continuation_start_wake	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M2.EmptySegment	src/eval/journal/association.ail:test_m2_empty_segment	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M2.MalformedEntry.pairing_at_assistant	src/eval/journal/association.ail:test_m2_pairing_at_assistant_stays_malformed_entry	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M2.source.passthrough	src/eval/journal/association.ail:test_m2_source_refusal_passes_through	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M2.clean	src/eval/journal/association.ail:test_m2_clean_twin_associates	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M2.clean.cutoff_before	src/eval/journal/association.ail:test_m2_clean_twin_cutoff_before	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M2.clean.ContinuationStart	src/eval/journal/association.ail:test_m2_continuation_start_twins	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M2.retry.cut	src/eval/journal/association.ail:test_m2_retry_is_a_cut	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M2.replacement.not_counted	src/eval/journal/association.ail:test_m2_replacement_is_not_counted	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M2.arguments.json_equality	src/eval/journal/association.ail:test_arguments_json_equality	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M2.run.gen	src/eval/journal/association.ail:test_run_equals_generator	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M2.excerpt.gen	src/eval/journal/excerpt.ail:test_excerpt_equals_generator	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M2.excerpt.session_start_shapes	src/eval/journal/excerpt.ail:test_excerpt_both_session_start_shapes	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M2.excerpt.thinking_usage	src/eval/journal/excerpt.ail:test_excerpt_thinking_usage	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M2.excerpt.rpc_banner_and_retry	src/eval/journal/excerpt.ail:test_excerpt_rpc_banner_and_retry	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M2.excerpt.refusals_located	src/eval/journal/excerpt.ail:test_excerpt_refusals_are_located	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M15.UnexpectedToolResult.passes_M2	src/eval/journal/association.ail:test_m15_near_miss_unexpected_tool_result_passes_m2	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M15.UnexpectedToolResult	src/eval/journal/source_checks_live_test.ail:m15_unexpected_tool_result	refused	A3:PayloadDiffers	call:2	record	562acadc3fa7a1b6db114526060ba292a6afc1ef
M15.MalformedToolArguments.passes_M2	src/eval/journal/association.ail:test_m15_near_miss_malformed_tool_arguments_passes_m2	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M15.MalformedToolArguments	src/eval/journal/source_checks_live_test.ail:m15_malformed_tool_arguments	refused	A3:PayloadDiffers	call:2	record	562acadc3fa7a1b6db114526060ba292a6afc1ef
M15.DuplicateOrAmbiguousCallId.association_accepts	src/eval/journal/association.ail:test_m15_near_miss_duplicate_call_id_swap_is_accepted	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M15.DuplicateOrAmbiguousCallId	src/eval/journal/source_checks_live_test.ail:m15_duplicate_call_id_swap	refused	A2:MessageDiffers	snapshot:14	record	562acadc3fa7a1b6db114526060ba292a6afc1ef
M15.Association.passes_M2	src/eval/journal/association.ail:test_m15_near_miss_association_passes_m2	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M15.Association	src/eval/journal/source_checks_live_test.ail:m15_association	refused	A3:PayloadDiffers	call:1	record	562acadc3fa7a1b6db114526060ba292a6afc1ef
M15.ContinuationStart	-	inapplicable	(no test)	-	reason	562acadc3fa7a1b6db114526060ba292a6afc1ef
M15.EmptySegment	-	inapplicable	(no test)	-	reason	562acadc3fa7a1b6db114526060ba292a6afc1ef
M3.SelectorEnd	src/eval/journal/stopping.ail:test_m3_selector_end	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M3.Completed	src/eval/journal/stopping.ail:test_m3_completed	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M3.Suspended	src/eval/journal/stopping.ail:test_m3_suspended	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M3.Resumed	src/eval/journal/stopping.ail:test_m3_resumed	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M3.SettingsChange	src/eval/journal/stopping.ail:test_m3_settings_change	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M3.RunStarted	src/eval/journal/stopping.ail:test_m3_run_started	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M3.Exit	src/eval/journal/stopping.ail:test_m3_exit	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M3.EofWithoutRunFinished	src/eval/journal/stopping.ail:test_m3_eof_without_run_finished	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M3.Parked	src/eval/journal/stopping.ail:test_m3_parked	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M3.ProviderRetry	src/eval/journal/stopping.ail:test_m3_provider_retry	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M3.UserMessage	src/eval/journal/stopping.ail:test_m3_user_message	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M3.HistoryReplaced	src/eval/journal/stopping.ail:test_m3_history_replaced	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M3.ReplacesPrevious	src/eval/journal/stopping.ail:test_m3_replaces_previous	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M3.IncompleteToolBatch	src/eval/journal/stopping.ail:test_m3_incomplete_tool_batch	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M3.CallFreeToolCallsFinish	src/eval/journal/stopping.ail:test_m3_call_free_tool_calls_finish	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M3.BlankStop	src/eval/journal/stopping.ail:test_m3_blank_stop	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M3.HybridExtraction	src/eval/journal/stopping.ail:test_m3_hybrid_extraction	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M3.RuntimeStatusCall	src/eval/journal/stopping.ail:test_m3_runtime_status_call	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M3.StopBeforeEnd	src/eval/journal/stopping.ail:test_m3_stop_before_end	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M3.StopThenUserMessage	src/eval/journal/stopping.ail:test_m3_stop_then_user_message	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M3.StaleResultAfterCut	src/eval/journal/stopping.ail:test_m3_stale_result_after_cut_is_outside	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M4.StopCall	src/eval/journal/stopping.ail:test_m4_stop_call_is_the_end	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M4.HybridPredicate.off	src/eval/journal/stopping.ail:test_m4_hybrid_predicate_off_admits	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M4.HybridPredicate.true	src/eval/journal/stopping.ail:test_m4_hybrid_predicate_true_admits	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M3.gen	src/eval/journal/stopping.ail:test_world_equals_generator	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M3.EmptySegment.after_cut	src/eval/journal/stopping.ail:test_m3_empty_after_cut	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M3.ContinuationStart.before_cut	src/eval/journal/stopping.ail:test_m3_continuation_start_before_cut	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M3.UnexpectedToolResult.after_stop	src/eval/journal/stopping.ail:test_m3_stale_result_after_stop_is_refused	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M4.continuation	src/eval/journal/stopping.ail:test_m4_continuation	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M4.cut_shapes	src/eval/journal/stopping.ail:test_m4_cut_shapes	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M4.HybridPredicate	src/eval/journal/stopping.ail:test_m4_hybrid_predicate_false_is_refused	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M4.HybridPredicate.hybrid_ids	src/eval/journal/stopping.ail:test_m4_predicate_ignores_hybrid_calls	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M5.served	src/eval/journal/stopping.ail:test_m5_served_configuration	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M5.served.defaults	src/eval/journal/stopping.ail:test_m5_served_defaults	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M5.context.window	src/eval/journal/stopping.ail:test_m5_context_limit_window	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M5.context.catalogue_declared	src/eval/journal/stopping.ail:test_m5_context_limit_catalogue_declared	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M5.context.disabled	src/eval/journal/stopping.ail:test_m5_context_limit_disabled	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M5.context.missed_encoded	src/eval/journal/stopping.ail:test_m5_context_limit_missed_is_encoded	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M5.ProfileMissed.witness	src/eval/journal/witness_live_test.ail:m11_profile_missed_models_file_refused	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
M5.logical_model	src/eval/journal/stopping.ail:test_m5_logical_model_mismatch_is_refused	pass	(asserted)	(asserted)	assertion	562acadc3fa7a1b6db114526060ba292a6afc1ef
