case_id	status
M2.UnexpectedToolResult.m1_pairing_fixture	credited
M2.UnexpectedToolResult.stale	credited
M2.MalformedToolArguments	credited
M2.Association.extra_prepared.same_step	credited
M2.Association.extra_prepared.other_step	credited
M2.Association.extra_assistant	credited
M2.Association.tool_calls_count	credited
M2.Association.second_thinking	credited
M2.Association.two_runs	credited
M2.Association.no_run	credited
M2.Association.unreadable_event	credited
M2.ContinuationStart.suspended	credited
M2.ContinuationStart.suspended_resumed	credited
M2.ContinuationStart.wake	credited
M2.EmptySegment	credited
M2.MalformedEntry.pairing_at_assistant	credited
M2.source.passthrough	credited
M2.clean	credited
M2.clean.cutoff_before	credited
M2.clean.ContinuationStart	credited
M2.retry.cut	credited
M2.replacement.not_counted	credited
M2.arguments.json_equality	credited
M2.run.gen	credited
M2.excerpt.gen	credited
M2.excerpt.session_start_shapes	credited
M2.excerpt.thinking_usage	credited
M2.excerpt.rpc_banner_and_retry	credited
M2.excerpt.refusals_located	credited
M15.UnexpectedToolResult.passes_M2	credited
M15.UnexpectedToolResult	equal
M15.MalformedToolArguments.passes_M2	credited
M15.MalformedToolArguments	equal
M15.DuplicateOrAmbiguousCallId.association_accepts	credited
M15.DuplicateOrAmbiguousCallId	equal
M15.Association.passes_M2	credited
M15.Association	equal
M15.ContinuationStart	inapplicable
M15.EmptySegment	inapplicable
M3.SelectorEnd	credited
M3.Completed	credited
M3.Suspended	credited
M3.Resumed	credited
M3.SettingsChange	credited
M3.RunStarted	credited
M3.Exit	credited
M3.EofWithoutRunFinished	credited
M3.Parked	credited
M3.ProviderRetry	credited
M3.UserMessage	credited
M3.HistoryReplaced	credited
M3.ReplacesPrevious	credited
M3.IncompleteToolBatch	credited
M3.CallFreeToolCallsFinish	credited
M3.BlankStop	credited
M3.HybridExtraction	credited
M3.RuntimeStatusCall	credited
M3.StopBeforeEnd	credited
M3.StopThenUserMessage	credited
M3.StaleResultAfterCut	credited
M4.StopCall	credited
M4.HybridPredicate.off	credited
M4.HybridPredicate.true	credited
M3.gen	credited
M3.EmptySegment.after_cut	credited
M3.ContinuationStart.before_cut	credited
M3.UnexpectedToolResult.after_stop	credited
M4.continuation	credited
M4.cut_shapes	credited
M4.HybridPredicate	credited
M4.HybridPredicate.hybrid_ids	credited
M5.served	credited
M5.served.defaults	credited
M5.context.window	credited
M5.context.catalogue_declared	credited
M5.context.disabled	credited
M5.context.missed_encoded	credited
M5.ProfileMissed.witness	credited
M5.logical_model	credited
M5.unreproduced	credited
M5.api_model.live_vectors	credited
M5.api_model.not_idempotent	credited
M5.api_model.copy_bytes	credited
M5.context.encoding	credited
M5.context.contents	credited
M5.settings	credited
M5.at_a.window	credited
M5.at_a.disabled	credited
M5.at_a.missed	credited
M5.at_a.profile_dir	credited
M15.HybridPredicate	inapplicable
M3.StopBeforeEnd.cut_turn	credited
M8.provider.empty_script	credited
M8.provider.one_append	credited
M8.provider.fault_one_append	credited
M8.tool.empty_queue	missing
M8.tool.one_append	credited
M8.tool.correlation_mismatch	credited
M8.guard.exactly_one_append	credited
M8.world.generator	credited
M8.world.m2_literal	credited
M8.world.stop_and_config	credited
M8.C2.uses_w	missing
M8.C2.uses_p	missing
M8.C2.rebuilds_script_and_queue	missing
M8.C2.join5	inapplicable
P16.EndSuspended3	credited
P16.EndSuspended3.raw	credited
P16.EndFinalize	credited
P16.EndFinalize.raw	credited
P16.program_shape	credited
P16.manifest_of	credited
P16.decoders	credited
M9.A5.clean	credited
M9.A5.end_truncated	credited
M9.A5.begin_truncated	credited
M9.A5.end_label_mismatch	credited
M9.A5.end_ordinal_not_int	credited
M9.A5.begin_keyword	credited
M9.A5.end_final_mismatch	credited
M9.A5.pending	credited
M9.A5.empty	credited
M9.A5.ordinal_repeat	credited
M9.A5.ordinal_gap	credited
M9.A5.last_dropped	credited
M9.A5.live.clean	credited
M9.A5.live.pending	credited
M9.A5.live.last_request_dropped	credited
M9.A5.live.end_malformed	credited
M9.A6.clean_suspended	credited
M9.A6.clean_finalize	credited
M9.A6.stop_as_budget	credited
M9.A6.budget_as_stop	credited
M9.A6.not_suspended	credited
M9.A6.no_run_suspended	credited
M9.A6.finalize_other_reason	credited
M9.A6.call_count	credited
M9.A6.failed_with_marker	credited
M9.A6.marker_on_right_end	credited
M9.A6.marker_scan	credited
M9.A6.live.budget_vs_stop	credited
M9.A6.live.stop_vs_budget	credited
M9.A6.live.exhausted_marker	credited
M9.A6.live.exhausted_marker.second	credited
M9.A9.clean	credited
M9.A9.provider_undecodable	credited
M9.A9.duplicate_ordinal	credited
M9.A9.blank_generator_id	credited
M9.A9.manifest_version_drifted	credited
M9.A9.negative_epoch	credited
M9.A9.live.clean	credited
M9.A9.live.provider_undecodable	credited
M9.A9b.clean	credited
M9.A9b.source_revision.not_commit	credited
M9.A9b.source_revision.tracked_changes	credited
M9.A9b.source_revision.tree	credited
M9.A9b.source_revision.main_packages	credited
M9.A9b.scan_root_commit	credited
M9.A9b.toolchain.binary	credited
M9.A9b.toolchain.version_synthetic	credited
M9.A9b.abi_version	credited
M9.A9b.classifier_2_set	credited
M9.A9b.unrouted_fields	credited
M9.A9b.scan_roots	credited
M9.A9b.scan_roots.leaf_outside	credited
M9.A9b.packages	credited
M9.A9b.packages.lock_digest	credited
M9.A9b.normalized_configuration	credited
M9.A9b.versions.rules	credited
M9.A9b.versions.profile_id	credited
M9.A9b.generator_version	credited
M9.A9b.generator_version.dev_real	credited
M9.A9b.extension_packages	credited
M9.A9b.packages.dot_unpinned	credited
M9.A9b.blank.toolchain	credited
M9.A9b.blank.source_revision	credited
M9.A9b.blank.abi_version	credited
M9.A9b.blank.normalized_configuration	credited
M9.A9b.blank.classifier_2_set	credited
M9.A9b.blank.scan_root_commit	credited
M9.A9b.real_before_p1g	credited
M9.A9b.synthetic_before_p1g	credited
M9.A9b.real_dev_generator_pinned	credited
M9.A9b.live.real_before_p1g	credited
M9.A9b.configuration.generator	credited
M10.A1.clean	credited
M10.A1.seed_digest_tamper.recorded	credited
M10.A1.seed_digest_tamper.folded	credited
M10.A1.segment_tamper	credited
M10.A1.replaces_previous	credited
M10.A1.live.seed_digest_tamper	credited
M10.A2.clean	credited
M10.A2.one_byte_append.history	credited
M10.A2.one_byte_append.record	credited
M10.A2.count.short	credited
M10.A2.count.long	credited
M10.A2.seeded_twice	credited
M10.A2.seed_digest	credited
M10.A2.seed_message	credited
M10.A2.replaces_previous	credited
M10.A2.live.one_byte_append.history	credited
M10.A2.live.one_byte_append.record	credited
M10.A3.clean	credited
M10.A3.payload	credited
M10.A3.system	credited
M10.A3.model_conversion	credited
M10.A3.model_projection	credited
M10.A3.msg_count	credited
M10.A3.count.short	credited
M10.A3.count.long	credited
M10.A3.exhausted_record	credited
M10.A3.expectations	credited
M10.A3.live.payload	credited
M10.A3.live.model_conversion.clean	credited
M10.A3.live.model_conversion	credited
M10.A3.live.msg_count	credited
M10.A3.live.count	credited
M10.A4.clean	credited
M10.A4.json_equal_reorder	credited
M10.A4.json_inequal	credited
M10.A4.json_inequal.later_call	credited
M10.A4.program_digest	credited
M10.A4.identity	credited
M10.A4.count.short	credited
M10.A4.count.long	credited
M10.A4.unobserved	credited
M10.A4.live.json_inequal	credited
M10.A4.live.json_equal	credited
M10.A4.live.program_digest_first	credited
M10.A4.live.count.short	credited
M10.A4.live.count.long	credited
M10.verdict.faithful	credited
M10.verdict.check_order	credited
M10.verdict.stable_within_check	credited
M10.verdict.interaction	credited
M10.verdict.scan	credited
M10.verdict.preflight	credited
M10.verdict.refusal	credited
M10.verdict.not_run	credited
P17a.SourceFaithful.EndSuspended3	equal
P17a.SourceFaithful.EndFinalize	equal
P17a.Refused.Refusal	equal
P17a.Refused.Preflight	equal
M15.clean.base	equal
M15.clean.m2	equal
M11.env_table.columns	credited
M11.witness.built	credited
M11.witness.clean	credited
M11.witness.under	credited
M11.witness.over	credited
M11.witness.models_file	credited
M11.witness.fault_in_accepted	credited
M11.witness.fault_own_column	credited
M11.witness.exit_manifest_missing	credited
M11.witness.clock	credited
M11.census.zero_by_name	credited
M11.census.twin.checkpoint_decisions	credited
M11.census.twin.checkpoint_records	credited
M11.census.twin.stream_chunks	credited
M11.census.twin.approval_reads	credited
M11.census.twin.approvals_consumed	credited
M11.census.twin.waits_opened	credited
M11.census.twin.parks	credited
M11.census.twin.wakes	credited
M11.census.twin.extension_effects	credited
M11.census.twin.retries	credited
M11.census.twin.injected_messages	credited
M11.census.twin.hybrid_extractions	credited
M11.census.twin.file_writes	credited
M11.census.twin.file_removes	credited
M11.census.twin.dir_makes	credited
M11.census.twin.exit_manifest_reads	credited
M11.census.twin.capture_reads	credited
M11.census.twin.decisions	credited
M11.census.twin.exit_manifest_writes	credited
M11.census.exit_manifest_blank_name	credited
M11.decisions.derived	credited
M11.decisions.stop_count_off	credited
M11.decisions.finalize_manifest_read_missing	credited
M11.four_words	credited
M11.live.t0_suspended	credited
M11.live.t0_finalize	credited
M11.live.family_evidence_unchanged	credited
M11.live.checkpoint_history_vacuous	credited
M11.live.under	credited
M11.live.over	credited
M11.live.tool_over	credited
M11.live.profile_missed.unknown	credited
M11.live.profile_missed.non_positive	credited
M11.live.profile_missed.no_event	credited
M11.live.fault_path.own_column	credited
M11.live.fault_path.accepted_column	credited
M11.live.fault_path.capture_census	credited
M11.live.bridge.clean	credited
M11.live.bridge.obligation	credited
M11.live.bridge.metadata	credited
M11.live.bridge.metadata_unknown	credited
M11.live.bridge.epoch	credited
M11.live.bridge.family_unevaluated	credited
M11.live.budget.derived	credited
M11.live.budget.n	credited
M11.live.budget.retry	credited
M11.live.budget.decision_dropped	credited
M11.live.census_twins.checkpoint_decisions	credited
M11.live.census_twins.checkpoint_records	credited
M11.live.census_twins.stream_chunks	credited
M11.live.census_twins.approval_reads	credited
M11.live.census_twins.approvals_consumed	credited
M11.live.census_twins.waits_opened	credited
M11.live.census_twins.parks	credited
M11.live.census_twins.wakes	credited
M11.live.census_twins.extension_effects	credited
M11.live.census_twins.retries	credited
M11.live.census_twins.injected_messages	credited
M11.live.census_twins.hybrid_extractions	credited
M11.live.census_twins.file_writes	credited
M11.live.census_twins.file_removes	credited
M11.live.census_twins.dir_makes	credited
M11.live.census_twins.exit_manifest_reads	credited
M11.live.census_twins.exit_manifest_writes	credited
M11.live.census_twins.capture_reads	credited
M11.live.census_twins.decisions	credited
M12.PrivateKeyBlock	credited
M12.JsonWebToken	credited
M12.UrlUserinfo	credited
M12.shapes.clean	credited
M12.JsonWebToken.false_negative	credited
M12.body16.later_occurrence	credited
M12.body16.later_prefix	credited
M12.body16.boundary	credited
M12.body6.reported	credited
M12.body15.reported	credited
M12.CredentialBearingName.env_key	credited
M12.CredentialBearingName.env_read	credited
M12.component.clean	credited
M12.component.snapshot	credited
M12.component.excerpt	credited
M12.component.program_identity	credited
M12.component.program_projection	credited
M12.component.program_payload	credited
M12.component.program_chunks	credited
M12.component.env	credited
M12.component.files	credited
M12.component.metadata	credited
M12.component.metadata_record	credited
M12.component.derived	credited
M12.report.no_body	credited
M12.artifact.frame	credited
M12.artifact.load_program	missing
M12.artifact.tampered	missing
M12.copies.drift_probe	missing
M12.entry.layout	credited
M12.entry.exposure_row_undecodable	credited
M12.entry.name	credited
M12.entry.written	missing
M12.entry.permission_failure	missing
M12.entry.partial_write_failure	missing
M12.entry.exists	missing
M12.entry.scan_refused.snapshot	missing
M12.entry.scan_refused.excerpt	missing
M12.entry.scan_refused.identity	missing
M12.entry.scan_refused.projection	missing
M12.entry.scan_refused.payload	missing
M12.entry.scan_refused.chunks	missing
M12.entry.scan_refused.env	missing
M12.entry.scan_refused.files	missing
M12.entry.scan_refused.metadata	missing
M12.entry.scan_refused.record	missing
M12.entry.name_invalid	missing
M15.ScanRefusal	inapplicable
M13.InadmissibleCandidate.path.prompts	equal
M13.InadmissibleCandidate.path.ext	equal
M13.InadmissibleCandidate.path.tool_catalog	equal
M13.InadmissibleCandidate.path.backend	equal
M13.InadmissibleCandidate.path.config	equal
M13.InadmissibleCandidate.path.tool_runtime	equal
M13.InadmissibleCandidate.path.tool_stream_phase	equal
M13.InadmissibleCandidate.path.dst	equal
M13.InadmissibleCandidate.path.core_test	equal
M13.InadmissibleCandidate.path.strict_replay_dst	equal
M13.InadmissibleCandidate.path.lock	equal
M13.InadmissibleCandidate.path.toml	equal
M13.InadmissibleCandidate.path.packages	equal
M13.InadmissibleCandidate.path.nested_toml	equal
M13.InadmissibleCandidate.path.deletion	equal
M13.InadmissibleCandidate.path.list	credited
M13.InadmissibleCandidate.intent.behavior_change	equal
M13.InadmissibleCandidate.intent.unreviewed	equal
M13.InadmissibleCandidate.intent.parent	equal
M13.InadmissibleCandidate.intent.candidate	equal
M13.InadmissibleCandidate.intent.schema	equal
M13.InadmissibleCandidate.intent.record_unreadable	equal
M13.order.path_before_intent	equal
M13.EvaluatorTouched.reader	equal
M13.EvaluatorTouched.guard	equal
M13.EvaluatorTouched.runner	equal
M13.EvaluatorTouched.manifest	equal
M13.EvaluatorTouched.generator	equal
M13.ProtectedRegionTouched.span_hash	equal
M13.ProtectedRegionTouched.missing	equal
M13.ProtectedRegionTouched.duplicate	equal
M13.ProtectedRegionTouched.import_statement	equal
M13.ProtectedRegionTouched.moved	equal
M13.ProtectedRegionTouched.checker_error	equal
M13.clean.refusals	equal
M13.GuardTripped.trip	equal
M13.GuardTripped.monitor_gap	equal
M13.GuardTripped.refused	equal
M13.GuardTripped.monitor_not_started	equal
M13.GuardTripped.interrupted	equal
M13.GuardTripped.child_failed	equal
M13.GuardTripped.missing	equal
M13.GuardTripped.clean	equal
M13.GuardTripped.run	failed
M13.PreflightMismatch.clean.compiled_set	equal
M13.PreflightMismatch.compiled_set.summary_missing	equal
M13.PreflightMismatch.compiled_set.hits	equal
M13.PreflightMismatch.compiled_set.skip	equal
M13.PreflightMismatch.compiled_set.hit_failed	equal
M13.PreflightMismatch.compiled_set.manifest_differs	equal
M13.PreflightMismatch.compiled_set.manifest_missing	equal
M13.PreflightMismatch.warm_cache.dir	equal
M13.PreflightMismatch.warm_cache.live	failed
M13.PreflightMismatch.clean.selection	equal
M13.PreflightMismatch.selection.module_outside_root	equal
M13.PreflightMismatch.selection.module_outside_root.live	failed
M13.PreflightMismatch.selection.project_hash	equal
M13.PreflightMismatch.selection.pkg_outside_pinned_root	equal
M13.PreflightMismatch.selection.pkg_hash	equal
M13.PreflightMismatch.selection.pkg_unresolved	equal
M13.PreflightMismatch.selection.std_shadowed	equal
M13.PreflightMismatch.selection.std_hash	equal
M13.PreflightMismatch.selection.prefix_ambiguous	equal
M13.PreflightMismatch.closure.differs	equal
M13.PreflightMismatch.clean.closure_prelude	equal
M13.PreflightMismatch.clean.effective_lock	equal
M13.PreflightMismatch.effective_lock.interface_hash	equal
M13.PreflightMismatch.effective_lock.registry_path	equal
M13.PreflightMismatch.effective_lock.generated_at	equal
M13.PreflightMismatch.effective_lock.package_removed	equal
M13.PreflightMismatch.clean.lock_path_mapping	credited
M13.PreflightMismatch.clean.package_copy_from_a	credited
M13.PreflightMismatch.clean.identities	equal
M13.PreflightMismatch.identity.manifest_profile	equal
M13.PreflightMismatch.identity.manifest_toolchain	equal
M13.PreflightMismatch.identity.profile_version	equal
M13.PreflightMismatch.identity.extension_packages	equal
M13.PreflightMismatch.identity.toolchain_version	equal
M13.PreflightMismatch.identity.toolchain_commit	equal
M13.PreflightMismatch.identity.binary	equal
M13.PreflightMismatch.identity.corpus_program	equal
M13.PreflightMismatch.identity.t0_file	equal
M13.PreflightMismatch.identity.t0_configuration	equal
M13.PreflightMismatch.identity.program_digest	equal
M13.PreflightMismatch.identity.lock_a	equal
M13.PreflightMismatch.identity.lock_c	equal
M13.PreflightMismatch.identity.package_entries	equal
M13.PreflightMismatch.identity.k0build_missing	equal
M13.PreflightMismatch.identity.program_missing	equal
M13.PreflightMismatch.loader_rules	equal
M13.PreflightMismatch.trace_loader_discarded	credited
M13.PreflightMismatch.pins	failed
M13.PreflightMismatch.run.during_run	failed
M13.PreflightMismatch.run.dev_evaluator_real_entry	failed
M13.run.refused_before_assembly	failed
M13.run.run_directory_exists	failed
M13.live.provenance_record	failed
M13.ProgramUndecodable.clean.starts	credited
M13.ProgramUndecodable.digest	credited
M13.ProgramUndecodable.garbage	credited
M13.ProgramUndecodable.structural	credited
M13.ProgramUndecodable.provider_outcome	credited
M13.ProgramUndecodable.labels	credited
M13.ProgramUndecodable.clean.loads	missing
M13.ProgramUndecodable.file	missing
M13.ProgramUndecodable.unreadable	missing
M13.ProgramUndecodable.outcome_file	missing
M13.ProgramUndecodable.run	failed
M13.ProgramUndecodable.run.live	failed
M15.InadmissibleCandidate.path.passes_path	credited
M15.InadmissibleCandidate.path.passes_k0	failed
M15.InadmissibleCandidate.intent.passes_intent	equal
M15.InadmissibleCandidate.path.passes_protected	credited
M15.InadmissibleCandidate.path.edit_changes_sent_message	credited
M15.InadmissibleCandidate.digest_function_only.passes_path	equal
M15.InadmissibleCandidate.digest_function_only.passes_k0	failed
M15.InadmissibleCandidate.digest_function_only.intent.passes_intent	equal
M15.EvaluatorTouched.passes_evaluator	equal
M15.ProtectedRegionTouched.passes_protected	equal
M15.ProgramUndecodable	inapplicable
M15.PreflightMismatch	inapplicable
M15.GuardTripped	inapplicable
M14.reproduced.suspended	credited
M14.reproduced.finalize	credited
M14.WrongKind	equal
M14.WrongOrigin	equal
M14.UnsafeIdentity	equal
M14.ProjectionDiffers	equal
M14.OutcomeDiffers	equal
M14.ProgramExhausted.log_length	equal
M14.UnusedInteraction.log_length	equal
M14.exhausted_marker.past_end	equal
M14.exhausted_marker.at_position	equal
M14.exhausted_marker.earlier_mismatch	equal
M14.K1.ReconstitutionFinding	equal
M14.K1.unstartable	equal
M14.K3.DiscoveryFinding.prepared_gt_recorded	equal
M14.K3.DiscoveryFinding.prepared_gt_recorded.stored_witness_agrees	equal
M14.K3.DiscoveryFinding.prepared_lt_recorded	equal
M14.K3.runtime_count.clock_delta_ms	equal
M14.K3.runtime_count.tool_dispatches	equal
M14.K4.Violation	equal
M14.K4.CensusMismatch	equal
M14.K4.family_evidence	equal
M14.K5.FrameMismatch	equal
M14.K5.FrameMismatch.pending	equal
M14.K6.EndMismatch	equal
M14.K6.EndMismatch.marker_scan	equal
M14.K7.ChainMismatch.seed	equal
M14.K7.ChainMismatch.append	equal
M14.regression_diagnostic_only	credited
M14.pure.K2.positions	credited
M14.pure.K4.family_record	credited
M14.pure.K4.census_record	credited
M14.pure.refused_arm	credited
M15.clean.candidate	failed
M15.InadmissibleCandidate.path	failed
M15.InadmissibleCandidate.intent	failed
M15.InadmissibleCandidate.digest_function_only	failed
M15.InadmissibleCandidate.digest_function_only.intent	failed
M15.EvaluatorTouched	failed
M15.ProtectedRegionTouched.fixture_comment_only	equal
M15.ProtectedRegionTouched	failed
M15.DuplicateOrAmbiguousCallId.runner	failed
M15.clean.m2.runner	failed
M13.decide.k0_first	credited
M13.verdict_triple	credited
M9.A9b.post_run_change	equal
M9.A9b.post_run_unchanged	equal
M11.live.a8_evaluate_violation_first	equal
M14.entry_records.round_trip	credited
MX.observation_rules	equal
P2.3R.r1.collector	equal
P2.3R.r4.corpus_root	equal
P2.3R.c1.out_modes	equal
P2.3R.c3.dir_evaluator	equal
P2.3R.r6.d1_classes	failed
P2.3R.r2.mut4_stale_comparators	equal
P2.3R.r2.mut5_env_poison	failed
P2.3R.r3.entry_name	credited
P2.3R.c4.end_refuse_closed	credited
P2.3R.r4.corpus_root_unit	credited
P2.3R.r5.selector_split	credited
P2.3R.c6.decoder_mpc	credited
P2.3R.m12.recorded_env	credited
P2.3R.r2.scan_entry_layout	missing
